Win Num 1,Wim Num 2,Win 3,Win 4,Win 5,Win 6
16,19,23,26,36,38
10,13,14,19,26,30
3,4,22,25,36,39
7,22,32,33,34,36
6,12,15,16,32,36
7,19,22,24,34,35
6,7,21,25,26,29
1,4,5,32,34,37
1,16,29,35,39,40
1,2,16,23,24,25
11,23,24,33,36,37
3,9,18,23,25,37
3,10,12,19,21,40
7,10,25,29,37,38
4,12,14,29,32,35
1,4,13,14,17,24
8,10,15,20,28,36
6,16,29,36,37,40
4,14,16,23,29,38
8,13,18,19,32,38
6,13,26,27,33,40
3,16,19,23,25,30
9,20,27,30,33,35
6,16,17,34,35,37
1,6,12,25,27,35
2,12,31,33,34,38
1,4,13,14,21,38
10,15,26,31,34,35
22,25,26,27,28,39
7,9,14,16,29,39
4,24,27,30,33,40
2,12,14,18,22,26
4,5,19,31,36,38
6,7,9,17,34,40
10,18,23,24,28,33
6,7,10,11,15,19
13,14,29,31,32,34
1,7,12,13,37,38
2,3,6,11,34,35
4,8,16,23,27,30
1,23,24,27,31,36
4,16,17,24,37,38
1,2,18,25,27,39
4,19,24,26,39,40
1,10,15,20,27,29
3,18,19,27,31,35
3,7,12,25,27,39
8,12,19,21,27,39
1,4,5,16,24,33
18,23,27,29,31,36
8,10,16,18,22,34
5,9,11,20,24,37
4,10,11,36,39,40
11,16,19,25,36,39
2,17,20,23,26,27
1,2,21,24,38,39
1,3,4,11,21,31
10,12,15,24,25,29
12,13,14,20,27,29
3,10,17,20,31,32
3,11,13,14,35,40
1,16,19,24,26,37
1,12,16,19,37,38
1,6,9,21,32,39
4,5,8,15,30,33
4,10,23,25,37,40
10,16,28,34,35,38
8,12,19,20,30,39
4,7,27,35,38,39
12,15,25,31,37,40
6,18,25,30,31,39
3,10,24,26,28,35
2,3,12,28,33,37
17,24,35,38,39,40
5,7,8,20,24,33
9,12,18,24,38,40
7,28,32,33,37,38
3,7,21,23,25,38
2,4,14,17,26,30
9,14,19,25,38,39
7,15,20,22,24,27
1,7,9,18,24,39
1,12,14,26,28,32
2,4,18,19,22,31
5,9,10,18,26,36
4,11,16,25,26,34
2,7,11,19,22,29
4,14,15,16,24,33
9,21,26,31,34,35
5,12,16,27,31,37
8,9,14,24,27,38
4,5,6,11,17,20
5,14,18,23,28,38
5,9,17,28,32,34
6,9,13,21,25,32
2,7,17,18,26,35
2,11,14,18,24,38
3,9,12,17,21,27
6,10,11,15,18,38
6,14,21,23,33,37
15,17,22,23,35,37
10,29,30,31,33,34
18,26,30,31,36,40
6,10,12,17,25,36
2,9,13,15,26,31
2,8,19,26,35,37
3,19,27,28,32,33
2,8,11,13,27,39
7,23,24,30,33,35
4,14,18,28,31,36
4,10,13,21,22,38
16,21,25,34,35,36
1,14,16,21,26,27
9,15,24,32,35,37
6,8,11,23,31,35
2,4,20,24,28,33
14,15,17,18,22,34
2,18,20,22,31,32
2,8,17,24,27,28
17,19,30,31,39,40
2,30,31,32,35,36
4,13,23,28,29,33
7,8,11,17,18,23
12,14,19,22,28,30
1,3,4,6,18,21
5,7,11,22,25,32
1,4,9,28,33,34
19,23,24,31,36,38
1,16,28,31,36,39
5,8,26,31,33,34
10,18,19,21,37,40
12,18,19,23,25,30
4,7,8,19,24,40
3,6,12,15,24,35
17,23,30,36,37,40
4,14,15,18,28,40
12,15,17,20,27,35
7,12,13,25,30,33
11,12,20,24,31,36
15,26,29,30,37,39
12,13,20,32,35,38
2,5,10,11,31,38
6,14,22,29,33,35
2,5,9,30,39,40
13,16,17,23,28,31
1,5,11,15,23,25
6,18,19,21,30,38
2,12,13,16,25,26
11,18,24,26,28,38
10,27,30,38,39,40
3,4,10,14,25,30
2,13,17,21,26,31
9,12,19,24,25,33
1,9,17,21,30,35
4,6,23,24,31,34
5,8,13,15,25,30
1,6,9,29,30,33
3,20,24,26,29,33
7,14,23,26,32,37
9,18,20,27,35,36
10,13,20,21,34,39
2,9,13,24,26,37
19,22,24,25,34,38
5,9,26,29,32,39
4,12,15,25,36,38
16,17,22,27,29,35
19,24,32,35,36,40
6,19,24,28,33,36
1,2,12,19,23,28
19,22,27,31,36,38
2,8,20,29,31,35
4,16,17,23,25,35
8,21,27,30,31,40
2,4,21,30,33,35
10,14,33,34,36,37
5,9,18,27,30,39
18,23,24,32,34,35
3,4,17,22,23,28
2,11,15,29,31,37
1,2,9,10,11,32
1,11,19,22,27,29
2,6,22,26,34,37
4,12,20,25,28,35
1,2,6,8,9,35
5,10,13,20,34,37
2,12,17,22,23,36
3,4,5,19,21,39
9,11,12,30,38,39
2,4,6,33,37,39
14,17,21,25,30,35
3,14,20,25,29,34
2,10,17,28,29,34
15,18,21,29,37,39
10,13,16,18,23,37
3,7,8,12,23,35
4,5,15,17,26,37
11,13,17,27,28,35
4,12,13,20,34,39
1,3,7,13,20,31
2,15,18,21,29,37
1,21,24,30,37,39
5,10,25,26,30,34
2,21,25,29,36,37
5,6,8,24,27,37
4,9,10,21,22,39
4,10,11,14,35,40
10,28,30,32,35,40
10,11,12,23,34,40
10,13,21,24,29,34
4,11,13,16,18,20
3,5,15,27,34,36
2,6,15,21,32,39
7,10,12,25,35,37
9,25,27,32,38,39
4,12,18,20,23,35
11,17,20,28,32,40
4,17,22,32,36,38
2,12,15,19,26,32
4,5,16,18,23,31
16,20,24,31,32,39
4,15,24,33,35,39
1,3,27,28,38,39
2,5,10,16,27,30
2,6,17,23,35,37
1,11,12,14,31,33
1,2,6,19,22,23
6,12,15,16,21,23
10,18,21,31,35,36
4,7,17,22,26,34
2,5,8,31,37,38
6,9,12,27,39,40
10,17,23,26,33,34
8,13,15,24,30,40
1,3,9,29,30,32
7,9,26,28,30,34
1,4,6,7,15,34
12,13,20,32,35,39
1,5,22,28,30,31
2,3,11,22,23,29
4,11,15,17,21,34
9,15,30,37,38,39
11,23,26,27,35,38
5,11,25,33,37,38
23,32,34,37,38,39
3,11,12,15,25,29
8,16,17,20,31,39
5,11,13,15,24,30
3,11,14,15,22,31
7,24,34,36,39,40
5,14,18,24,30,39
8,10,24,31,32,34
1,8,12,13,17,27
6,10,11,12,27,32
1,3,17,29,33,36
12,14,17,26,27,39
4,5,10,13,20,39
6,10,12,16,20,32
16,18,21,23,25,26
1,12,20,21,24,26
10,19,20,33,34,36
7,8,9,19,27,40
3,8,13,19,23,40
2,13,31,33,38,40
4,8,20,32,36,38
3,4,16,25,35,37
3,8,11,13,20,36
2,5,18,24,38,40
4,18,21,22,25,29
3,17,26,34,36,39
1,7,13,16,25,32
18,19,21,27,33,35
5,7,18,19,30,34
2,7,13,16,23,26
10,12,20,30,35,37
8,11,17,22,24,35
1,3,9,30,32,35
4,5,9,12,16,26
5,13,15,17,20,23
5,17,20,35,37,40
4,7,21,28,31,38
8,19,22,25,31,40
3,4,7,10,13,28
2,7,8,21,24,33
2,6,14,19,20,31
2,14,24,29,36,39
1,11,27,35,37,38
7,16,17,21,30,35
2,6,31,32,36,39
2,3,9,16,22,25
1,5,7,15,19,39
11,13,21,27,33,38
3,11,13,17,22,37
5,16,22,23,26,35
10,14,25,28,35,36
6,17,21,23,25,38
4,6,13,16,29,36
11,24,27,32,35,36
4,16,26,29,30,40
9,11,14,27,34,35
8,18,24,25,37,39
4,5,14,19,29,37
1,5,6,18,25,32
4,19,20,30,37,38
1,2,8,18,21,30
6,16,24,25,32,40
4,10,15,19,21,30
10,17,25,31,33,36
11,15,21,33,34,37
8,10,17,35,38,40
4,8,12,30,33,35
7,17,19,24,29,39
3,7,9,17,18,30
3,5,8,12,17,29
9,17,20,27,28,37
1,3,11,20,28,32
7,17,26,27,33,38
3,6,14,26,31,33
9,11,22,32,39,40
5,20,27,31,37,38
1,6,15,19,22,37
3,6,13,19,32,37
6,31,32,37,38,40
1,6,8,20,22,23
9,10,17,29,39,40
14,18,25,28,30,35
13,23,29,30,33,40
1,3,4,5,6,36
4,8,13,16,32,38
2,8,18,19,33,34
17,27,28,29,37,39
1,7,8,13,14,16
2,14,16,25,30,32
1,10,22,25,31,39
4,6,19,23,24,37
13,16,25,27,31,40
3,5,15,18,23,36
4,5,22,28,31,38
4,6,19,20,28,29
6,7,12,29,37,38
3,14,17,29,30,31
7,11,18,28,37,39
3,15,35,36,38,40
4,24,28,29,38,39
2,10,20,27,31,34
18,21,35,36,37,40
6,9,10,11,30,39
2,3,4,12,23,28
1,3,10,11,37,39
1,13,16,24,27,40
1,5,14,15,21,36
9,14,25,35,39,40
2,12,25,26,31,37
12,16,20,21,23,25
6,10,11,21,23,29
12,14,18,25,30,32
12,18,21,26,27,28
3,15,22,26,30,38
4,14,17,26,38,40
2,3,13,28,35,37
3,15,32,36,37,39
13,16,17,18,23,36
7,14,16,18,31,40
4,7,9,16,24,33
10,12,16,23,29,31
1,8,20,29,36,40
10,15,16,25,37,38
4,9,20,22,29,38
11,14,23,26,33,39
4,6,10,18,30,36
6,10,21,27,28,39
11,19,21,23,24,27
11,12,17,25,28,35
6,8,14,17,24,31
2,6,14,17,26,33
11,13,24,28,38,39
6,9,16,28,32,40
5,9,13,25,33,40
1,5,8,10,15,30
3,4,5,7,23,34
11,17,22,26,35,40
3,10,19,23,24,32
4,6,10,23,34,35
1,7,14,17,38,40
2,3,15,18,21,29
10,11,13,23,38,40
6,10,18,23,35,36
6,16,22,28,39,40
1,7,14,17,22,32
8,12,16,26,31,37
2,9,29,34,37,39
7,14,18,28,31,34
4,7,11,17,32,40
7,16,17,32,39,40
10,15,26,33,37,40
1,3,9,13,23,40
2,3,11,23,24,29
3,6,18,20,26,36
18,19,24,25,35,39
3,6,14,18,28,37
11,16,26,28,38,39
2,6,21,23,33,34
2,16,24,26,32,33
2,6,10,17,26,35
2,6,19,22,25,30
21,22,29,32,34,37
1,8,11,12,19,25
1,5,8,12,22,25
5,11,12,13,27,38
3,8,10,19,23,27
2,4,11,26,31,35
11,15,16,18,25,32
1,9,16,18,25,30
2,3,4,29,38,39
8,10,16,18,25,37
14,27,32,34,38,39
5,9,13,14,31,39
13,22,34,35,36,40
8,14,18,25,26,31
5,12,14,25,29,34
5,8,9,11,33,38
1,14,17,19,30,39
15,17,23,26,32,33
4,7,8,17,21,32
1,18,19,28,34,35
13,20,24,26,28,29
2,4,17,18,31,40
12,23,26,29,31,39
4,26,34,35,37,40
8,30,32,35,37,40
5,7,14,18,23,25
16,24,31,32,37,38
3,14,24,26,28,30
13,15,20,28,35,37
7,9,21,27,32,33
1,10,14,20,25,40
2,11,12,17,29,38
11,17,30,33,36,38
1,6,29,33,34,39
2,6,26,30,35,38
8,17,19,34,35,36
3,13,19,20,38,39
5,13,22,24,27,32
1,8,11,14,22,32
8,10,15,22,32,37
14,15,22,25,30,40
1,4,23,28,30,32
2,9,10,20,24,36
1,12,15,19,22,24
8,15,30,31,33,37
9,11,16,18,29,33
1,5,7,19,22,23
3,5,7,14,18,25
12,26,29,37,39,40
6,15,23,28,36,38
4,8,16,32,33,34
4,20,21,32,34,37
8,13,18,21,22,26
5,6,19,23,24,33
1,4,10,14,23,39
7,16,17,35,37,39
8,20,22,27,31,33
1,3,9,12,17,22
14,22,24,29,36,39
5,9,11,13,16,23
5,12,19,20,33,38
4,11,17,19,20,38
4,11,24,37,39,40
1,6,8,20,22,25
5,15,21,23,31,32
1,9,15,24,33,36
6,18,23,24,29,40
1,12,13,14,20,40
1,12,14,25,28,34
8,10,14,17,23,34
4,10,15,32,38,40
15,19,26,33,37,39
4,9,26,31,33,34
4,8,13,19,24,38
5,8,25,36,37,39
14,16,19,26,31,36
4,8,11,19,24,30
15,17,20,29,30,38
2,5,20,22,24,33
9,10,18,26,33,37
1,6,11,18,27,34
3,17,18,22,31,39
1,5,8,11,14,15
6,11,19,20,28,40
9,11,15,18,22,23
4,5,9,19,22,39
1,9,25,26,34,37
5,7,11,15,16,19
11,15,20,24,36,38
8,9,13,16,21,26
10,12,18,20,25,27
